Year,Stage,away_team,date,home_team,home_result,away_result,winner
1930,Group A,Mexico,13/07/1930 15:00,France,4,1,France
1930,Group D,Belgium,13/07/1930 15:00,United States,3,0,United States
1930,Group B,Brazil,14/07/1930 12:45,Yugoslavia,2,1,Yugoslavia
1930,Group C,Peru,14/07/1930 14:50,Romania,3,1,Romania
1930,Group A,France,15/07/1930 16:00,Argentina,1,0,Argentina
1930,Group A,Mexico,16/07/1930 14:45,Chile,3,0,Chile
1930,Group B,Bolivia,17/07/1930 12:45,Yugoslavia,4,0,Yugoslavia
1930,Group D,Paraguay,17/07/1930 14:45,United States,3,0,United States
1930,Group C,Peru,18/07/1930 14:30,Uruguay,1,0,Uruguay
1930,Group A,France,19/07/1930 12:50,Chile,1,0,Chile
1930,Group A,Mexico,19/07/1930 15:00,Argentina,6,3,Argentina
1930,Group B,Bolivia,20/07/1930 13:00,Brazil,4,0,Brazil
1930,Group D,Belgium,20/07/1930 15:00,Paraguay,1,0,Paraguay
1930,Group C,Romania,21/07/1930 14:50,Uruguay,4,0,Uruguay
1930,Group A,Chile,22/07/1930 14:45,Argentina,3,1,Argentina
1930,Semi-finals,United States,26/07/1930 14:45,Argentina,6,1,Argentina
1930,Semi-finals,Yugoslavia,27/07/1930 14:45,Uruguay,6,1,Uruguay
1930,Final,Argentina,30/07/1930 14:15,Uruguay,4,2,Uruguay
1934,First round,France,27/05/1934 16:30,Austria,3,2,Austria 
1934,First round,Egypt,27/05/1934 16:30,Hungary,4,2,Hungary
1934,First round,Netherlands,27/05/1934 16:30,Switzerland,3,2,Switzerland
1934,First round,Argentina,27/05/1934 16:30,Sweden,3,2,Sweden
1934,First round,Belgium,27/05/1934 16:30,Germany,5,2,Germany
1934,First round,Brazil,27/05/1934 16:30,Spain,3,1,Spain
1934,First round,United States,27/05/1934 16:30,Italy,7,1,Italy
1934,First round,Romania,27/05/1934 16:30,Czech Republic,2,1,Czech Republic
1934,Quarter-finals,Switzerland,31/05/1934 16:30,Czech Republic,3,2,Czech Republic
1934,Quarter-finals,Sweden,31/05/1934 16:30,Germany,2,1,Germany
1934,Quarter-finals,Spain,31/05/1934 16:30,Italy,1,1,draw
1934,Quarter-finals,Hungary,31/05/1934 16:30,Austria,2,1,Austria
1934,Quarter-finals,Spain,1/06/1934 16:30,Italy,1,0,Italy
1934,Semi-finals,Austria,3/06/1934 16:30,Italy,1,0,Italy
1934,Semi-finals,Germany,3/06/1934 16:30,Czech Republic,3,1,Czech Republic
1934,Third place,Austria,7/06/1934 18:00,Germany,3,2,Germany
1934,Final,Czech Republic,10/06/1934 17:30,Italy,2,1,Italy 
1938,First round,Germany,4/06/1938 17:00,Switzerland,1,1,draw
1938,First round,Dutch East Indies,5/06/1938 17:00,Hungary,6,0,Hungary
1938,First round,Belgium,5/06/1938 17:00,France,3,1,France
1938,First round,Romania,5/06/1938 17:00,Cuba,3,3,draw
1938,First round,Norway,5/06/1938 17:00,Italy,2,1,Italy 
1938,First round,Poland,5/06/1938 17:30,Brazil,6,5,Brazil 
1938,First round,Netherlands,5/06/1938 18:30,Czech Republic,3,0,Czech Republic 
1938,First round,Romania,9/06/1938 18:00,Cuba,2,1,Cuba
1938,First round,Germany,9/06/1938 18:00,Switzerland,4,2,Switzerland
1938,Quarter-finals,Czech Republic,12/06/1938 17:00,Brazil,1,1,draw
1938,Quarter-finals,Switzerland,12/06/1938 17:00,Hungary,2,0,Hungary
1938,Quarter-finals,Cuba,12/06/1938 17:00,Sweden,8,0,Sweden
1938,Quarter-finals,France,12/06/1938 17:00,Italy,3,1,Italy
1938,Quarter-finals,Czech Republic,14/06/1938 18:00,Brazil,2,1,Brazil
1938,Semi-finals,Sweden,16/06/1938 18:00,Hungary,5,1,Hungary
1938,Semi-finals,Brazil,16/06/1938 18:00,Italy,2,1,Italy
1938,Third place,Sweden,19/06/1938 17:00,Brazil,4,2,Brazil
1938,Final,Hungary,19/06/1938 17:00,Italy,4,2,Italy
1950,Group A,Mexico,24/06/1950 15:00,Brazil,4,0,Brazil
1950,Group B,Chile,25/06/1950 15:00,United Kingdom,2,0,United Kingdom
1950,Group B,United States,25/06/1950 15:00,Spain,3,1,Spain
1950,Group C,Italy,25/06/1950 15:00,Sweden,3,2,Sweden
1950,Group A,Switzerland,25/06/1950 15:00,Yugoslavia,3,0,Yugoslavia
1950,Group A,Switzerland,28/06/1950 15:00,Brazil,2,2,draw
1950,Group A,Mexico,28/06/1950 15:00,Yugoslavia,4,1,Yugoslavia
1950,Group B,Chile,29/06/1950 15:00,Spain,2,0,Spain
1950,Group C,Paraguay,29/06/1950 15:30,Sweden,2,2,draw
1950,Group B,United Kingdom,29/06/1950 15:00,United States,1,0,United States
1950,Group A,Yugoslavia,1/07/1950 15:00,Brazil,2,0,Brazil
1950,Group B,United Kingdom,2/07/1950 15:00,Spain,1,0,Spain
1950,Group C,Paraguay,2/07/1950 15:00,Italy,2,0,Italy
1950,Group D,Bolivia,2/07/1950 15:00,Uruguay,8,0,Uruguay
1950,Group A,Mexico,2/07/1950 15:40,Switzerland,2,1,Switzerland
1950,Group B,United States,2/07/1950 15:00,Chile,5,2,Chile
1950,Group F,Spain,9/07/1950 15:00,Uruguay,2,2,draw
1950,Group F,Sweden,9/07/1950 15:00,Brazil,7,1,Brazil
1950,Group F,Spain,13/07/1950 15:00,Brazil,6,1,Brazil
1950,Group F,Sweden,13/07/1950 15:00,Uruguay,3,2,Uruguay
1950,Group F,Spain,16/07/1950 15:00,Sweden,3,1,Sweden
1950,Group F,Brazil,16/07/1950 15:00,Uruguay,2,1,Uruguay
1954,Group C,Czech Republic,16/06/1954 18:00,Uruguay,2,0,Uruguay
1954,Group C,Scotland,16/06/1954 18:00,Austria,1,0,Austria
1954,Group A,Mexico,16/06/1954 18:00,Brazil,5,0,Brazil
1954,Group A,France,16/06/1954 18:00,Yugoslavia,1,0,Yugoslavia
1954,Group B,Turkey,17/06/1954 18:00,Germany,4,1,Germany
1954,Group B,"Korea, South",17/06/1954 18:00,Hungary,9,0,Hungary
1954,Group D,Belgium,17/06/1954 18:10,United Kingdom,4,4,draw
1954,Group D,Italy,17/06/1954 17:50,Switzerland,2,1,Switzerland
1954,Group C,Scotland,19/06/1954 16:50,Uruguay,7,0,Uruguay
1954,Group C,Czech Republic,19/06/1954 17:00,Austria,5,0,Austria
1954,Group A,Mexico,19/06/1954 17:10,France,3,2,France
1954,Group A,Yugoslavia,19/06/1954 17:00,Brazil,1,1,draw
1954,Group B,Germany,20/06/1954 16:50,Hungary,8,3,Hungary
1954,Group B,"Korea, South",20/06/1954 17:00,Turkey,7,0,Turkey
1954,Group D,Switzerland,20/06/1954 17:10,United Kingdom,2,0,United Kingdom
1954,Group D,Belgium,20/06/1954 17:00,Italy,4,1,Italy
1954,Group B,Turkey,23/06/1954 18:00,Germany,7,2,Germany
1954,Group D,Italy,23/06/1954 18:00,Switzerland,4,1,Switzerland
1954,Quarter-finals,United Kingdom,26/06/1954 17:00,Uruguay,4,2,Uruguay
1954,Quarter-finals,Switzerland,26/06/1954 17:00,Austria,7,5,Austria
1954,Quarter-finals,Yugoslavia,27/06/1954 17:00,Germany,2,0,Germany
1954,Quarter-finals,Brazil,27/06/1954 17:00,Hungary,4,2,Hungary
1954,Semi-finals,Austria,30/06/1954 18:00,Germany,6,1,Germany
1954,Semi-finals,Uruguay,30/06/1954 18:00,Hungary,4,2,Hungary 
1954,Third place,Uruguay,3/07/1954 17:00,Austria,3,1,Austria
1954,Final,Hungary,4/07/1954 17:00,Germany,3,2,Germany
1958,Group C,Mexico,8/06/1958 14:00,Sweden,3,0,Sweden
1958,Group D,United Kingdom,8/06/1958 19:00,Russia,2,2,draw
1958,Group A,Germany,8/06/1958 19:00,Argentina,1,3,Germany
1958,Group C,Wales,8/06/1958 19:00,Hungary,1,1,draw
1958,Group B,Paraguay,8/06/1958 19:00,France,7,3,France
1958,Group B,Scotland,8/06/1958 19:00,Yugoslavia,1,1,draw
1958,Group D,Austria,8/06/1958 19:00,Brazil,3,0,Brazil
1958,Group A,Czech Republic,8/06/1958 19:00,Ireland,1,0,Ireland
1958,Group D,United Kingdom,11/06/1958 19:00,Brazil,0,0,draw
1958,Group C,Wales,11/06/1958 19:00,Mexico,1,1,draw
1958,Group B,Scotland,11/06/1958 19:00,Paraguay,3,2,Paraguay
1958,Group B,France,11/06/1958 19:00,Yugoslavia,3,2,Yugoslavia
1958,Group D,Austria,11/06/1958 19:00,Russia,2,0,Russia
1958,Group A,Czech Republic,11/06/1958 19:00,Germany,2,2,draw
1958,Group A,Ireland,11/06/1958 19:00,Argentina,3,1,Argentina
1958,Group C,Hungary,12/06/1958 19:00,Sweden,2,1,Sweden
1958,Group C,Wales,15/06/1958 14:00,Sweden,0,0,draw
1958,Group D,Russia,15/06/1958 19:00,Brazil,2,0,Brazil
1958,Group A,Ireland,15/06/1958 19:00,Germany,2,2,draw
1958,Group C,Mexico,15/06/1958 19:00,Hungary,4,0,Hungary
1958,Group B,Yugoslavia,15/06/1958 19:00,Paraguay,3,3,draw
1958,Group B,Scotland,15/06/1958 19:00,France,2,1,France
1958,Group D,Austria,15/06/1958 19:00,United Kingdom,2,2,draw
1958,Group A,Argentina,15/06/1958 19:00,Czech Republic,6,1,Czech Republic
1958,Group D,United Kingdom,17/06/1958 19:00,Russia,1,0,Russia
1958,Group A,Czech Republic,17/06/1958 19:00,Ireland,2,1,Ireland 
1958,Group C,Hungary,17/06/1958 19:00,Wales,2,1,Wales
1958,Quarter-finals,Wales,19/06/1958 19:00,Brazil,1,0,Brazil
1958,Quarter-finals,Yugoslavia,19/06/1958 19:00,Germany,1,0,Germany
1958,Quarter-finals,Russia,19/06/1958 19:00,Sweden,2,0,Sweden
1958,Quarter-finals,Ireland,19/06/1958 19:00,France,4,0,France
1958,Semi-finals,Germany,24/06/1958 19:00,Sweden,3,1,Sweden
1958,Semi-finals,France,24/06/1958 19:00,Brazil,5,2,Brazil
1958,Third place,Germany,28/06/1958 17:00,France,6,3,France
1958,Final,Sweden,29/06/1958 15:00,Brazil,5,2,Brazil
1962,Group A,Colombia,30/05/1962 15:00,Uruguay,2,1,Uruguay
1962,Group C,Mexico,30/05/1962 15:00,Brazil,2,0,Brazil
1962,Group D,Bulgaria,30/05/1962 15:00,Argentina,1,0,Argentina
1962,Group B,Switzerland,30/05/1962 15:00,Chile,3,1,Chile
1962,Group A,Yugoslavia,31/05/1962 15:00,Russia,2,0,Russia
1962,Group C,Spain,31/05/1962 15:00,Czech Republic,1,0,Czech Republic
1962,Group D,United Kingdom,31/05/1962 15:00,Hungary,2,1,Hungary
1962,Group B,Italy,31/05/1962 15:00,Germany,0,0,draw
1962,Group A,Uruguay,2/06/1962 15:00,Yugoslavia,3,1,Yugoslavia
1962,Group C,Czech Republic,2/06/1962 15:00,Brazil,0,0,draw
1962,Group D,Argentina,2/06/1962 15:00,United Kingdom,3,1,United Kingdom
1962,Group B,Italy,2/06/1962 15:00,Chile,2,0,Chile
1962,Group A,Colombia,3/06/1962 15:00,Russia,4,4,draw
1962,Group C,Mexico,3/06/1962 15:00,Spain,1,0,Spain
1962,Group D,Bulgaria,3/06/1962 15:00,Hungary,6,1,Hungary
1962,Group B,Switzerland,3/06/1962 15:00,Germany,2,1,Germany
1962,Group A,Uruguay,6/06/1962 15:00,Russia,2,1,Russia
1962,Group C,Spain,6/06/1962 15:00,Brazil,2,1,Brazil
1962,Group D,Argentina,6/06/1962 15:00,Hungary,0,0,draw
1962,Group B,Chile,6/06/1962 15:00,Germany,2,0,Germany
1962,Group A,Colombia,7/06/1962 15:00,Yugoslavia,5,0,Yugoslavia
1962,Group C,Czech Republic,7/06/1962 15:00,Mexico,3,1,Mexico
1962,Group D,Bulgaria,7/06/1962 15:00,United Kingdom,0,0,draw
1962,Group B,Switzerland,7/06/1962 15:00,Italy,3,0,Italy
1962,Quarter-finals,Russia,10/06/1962 14:30,Chile,2,1,Chile
1962,Quarter-finals,United Kingdom,10/06/1962 14:30,Brazil,3,1,Brazil
1962,Quarter-finals,Hungary,10/06/1962 14:30,Czech Republic,1,0,Czech Republic
1962,Quarter-finals,Germany,10/06/1962 14:30,Yugoslavia,1,0,Yugoslavia
1962,Semi-finals,Yugoslavia,13/06/1962 14:30,Czech Republic,3,1,Czech Republic
1962,Semi-finals,Chile,13/06/1962 14:30,Brazil,4,2,Brazil
1962,Third place,Yugoslavia,16/06/1962 14:30,Chile,1,0,Chile
1962,Final,Czech Republic,17/06/1962 14:30,Brazil,3,1,Brazil
1966,Group A,Uruguay,11/07/1966 19:30,United Kingdom,0,0,draw
1966,Group B,Switzerland,12/07/1966 19:30,Germany,5,0,Germany
1966,Group C,Bulgaria,12/07/1966 19:30,Brazil,2,0,Brazil
1966,Group D,"Korea, North",12/07/1966 19:30,Russia,3,0,Russia
1966,Group A,Mexico,13/07/1966 19:30,France,1,1,draw
1966,Group C,Hungary,13/07/1966 19:30,Portugal,3,1,Portugal
1966,Group B,Spain,13/07/1966 19:30,Argentina,2,1,Argentina
1966,Group D,Chile,13/07/1966 19:30,Italy,2,0,Italy
1966,Group A,France,15/07/1966 19:30,Uruguay,2,1,Uruguay
1966,Group B,Switzerland,15/07/1966 19:30,Spain,2,1,Spain
1966,Group C,Brazil,15/07/1966 19:30,Hungary,3,1,Hungary
1966,Group D,Chile,15/07/1966 19:30,"Korea, North",1,1,draw
1966,Group C,Bulgaria,16/07/1966 15:00,Portugal,3,0,Portugal
1966,Group B,Argentina,16/07/1966 15:00,Germany,0,0,draw
1966,Group D,Italy,16/07/1966 15:00,Russia,1,0,Russia
1966,Group A,Mexico,16/07/1966 19:30,United Kingdom,2,0,United Kingdom
1966,Group A,Mexico,19/07/1966 16:30,Uruguay,0,0,draw
1966,Group B,Switzerland,19/07/1966 19:30,Argentina,2,0,Argentina
1966,Group C,Brazil,19/07/1966 19:30,Portugal,3,1,Portugal
1966,Group D,Italy,19/07/1966 19:30,"Korea, North",1,0,"Korea, North"
1966,Group A,France,20/07/1966 19:30,United Kingdom,2,0,United Kingdom
1966,Group C,Bulgaria,20/07/1966 19:30,Hungary,3,1,Hungary
1966,Group B,Spain,20/07/1966 19:30,Germany,2,1,Germany
1966,Group D,Chile,20/07/1966 19:30,Russia,2,1,Russia
1966,Quarter-finals,Argentina,23/07/1966 15:00,United Kingdom,1,0,United Kingdom
1966,Quarter-finals,Uruguay,23/07/1966 15:00,Germany,4,0,Germany
1966,Quarter-finals,Hungary,23/07/1966 15:00,Russia,2,1,Russia
1966,Quarter-finals,"Korea, North",23/07/1966 15:00,Portugal,5,3,Portugal
1966,Semi-finals,Russia,25/07/1966 19:30,Germany,2,1,Germany
1966,Semi-finals,Portugal,26/07/1966 19:30,United Kingdom,2,1,United Kingdom
1966,Third place,Russia,28/07/1966 19:30,Portugal,2,1,Portugal
1966,Final,Germany,30/07/1966 15:00,United Kingdom,4,2,United Kingdom 
1970,Group A,Russia,31/05/1970 12:00,Mexico,0,0,draw
1970,Group B,Israel,2/06/1970 16:00,Uruguay,2,0,Uruguay
1970,Group D,Bulgaria,2/06/1970 16:00,Peru,3,2,Peru
1970,Group C,Romania,2/06/1970 16:00,United Kingdom,1,0,United Kingdom
1970,Group B,Sweden,3/06/1970 16:00,Italy,1,0,Italy
1970,Group D,Morocco,3/06/1970 16:00,Germany,2,1,Germany
1970,Group C,Czech Republic,3/06/1970 16:00,Brazil,4,1,Brazil
1970,Group A,El Salvador,3/06/1970 16:00,Belgium,3,0,Belgium
1970,Group B,Italy,6/06/1970 16:00,Uruguay,0,0,draw
1970,Group D,Morocco,6/06/1970 16:00,Peru,3,0,Peru
1970,Group C,Czech Republic,6/06/1970 16:00,Romania,2,1,Romania
1970,Group A,Belgium,6/06/1970 16:00,Russia,4,1,Russia
1970,Group B,Israel,7/06/1970 12:00,Sweden,1,1,draw
1970,Group D,Bulgaria,7/06/1970 12:00,Germany,5,2,Germany
1970,Group C,United Kingdom,7/06/1970 12:00,Brazil,1,0,Brazil
1970,Group A,El Salvador,7/06/1970 12:00,Mexico,4,0,Mexico
1970,Group B,Uruguay,10/06/1970 16:00,Sweden,1,0,Sweden
1970,Group D,Peru,10/06/1970 16:00,Germany,3,1,Germany
1970,Group C,Romania,10/06/1970 16:00,Brazil,3,2,Brazil
1970,Group A,El Salvador,10/06/1970 16:00,Russia,2,0,Russia
1970,Group B,Israel,11/06/1970 16:00,Italy,0,0,draw
1970,Group D,Morocco,11/06/1970 16:00,Bulgaria,1,1,draw
1970,Group C,Czech Republic,11/06/1970 16:00,United Kingdom,1,0,United Kingdom
1970,Group A,Belgium,11/06/1970 16:00,Mexico,1,0,Mexico
1970,Quarter-finals,Mexico,14/06/1970 12:00,Italy,4,1,Italy
1970,Quarter-finals,United Kingdom,14/06/1970 12:00,Germany,3,2,Germany 
1970,Quarter-finals,Peru,14/06/1970 12:00,Brazil,4,2,Brazil
1970,Quarter-finals,Russia,14/06/1970 12:00,Uruguay,1,0,Uruguay 
1970,Semi-finals,Uruguay,17/06/1970 16:00,Brazil,3,1,Brazil
1970,Semi-finals,Germany,17/06/1970 16:00,Italy,4,3,Italy 
1970,Third place,Uruguay,20/06/1970 16:00,Germany,1,0,Germany
1970,Final,Italy,21/06/1970 12:00,Brazil,4,1,Brazil
1974,Group B,Yugoslavia,13/06/1974 17:00,Brazil,0,0,draw
1974,Group A,Chile,14/06/1974 16:00,Germany,1,0,Germany
1974,Group A,Australia,14/06/1974 19:30,Germany,2,0,Germany
1974,Group B,Scotland,14/06/1974 19:30,Zaire,0,2,Scotland
1974,Group C,Netherlands,15/06/1974 16:00,Uruguay,0,2,Netherlands
1974,Group C,Bulgaria,15/06/1974 16:00,Sweden,0,0,draw
1974,Group D,Haiti,15/06/1974 18:00,Italy,3,1,Italy
1974,Group D,Argentina,15/06/1974 18:00,Poland,3,2,Poland
1974,Group A,Germany,18/06/1974 16:00,Australia,0,3,Germany
1974,Group B,Brazil,18/06/1974 19:30,Scotland,0,0,draw
1974,Group A,Germany,18/06/1974 19:30,Chile,1,1,draw
1974,Group B,Zaire,18/06/1974 19:30,Yugoslavia,9,0,Yugoslavia
1974,Group C,Sweden,19/06/1974 19:30,Netherlands,0,0,draw
1974,Group C,Uruguay,19/06/1974 19:30,Bulgaria,1,1,draw
1974,Group D,Poland,19/06/1974 19:30,Haiti,0,7,Poland
1974,Group D,Italy,19/06/1974 19:30,Argentina,1,1,draw
1974,Group B,Yugoslavia,22/06/1974 16:00,Scotland,1,1,draw
1974,Group A,Chile,22/06/1974 16:00,Australia,0,0,draw
1974,Group B,Brazil,22/06/1974 16:00,Zaire,0,3,Brazil
1974,Group A,Germany,22/06/1974 19:30,Germany,1,0,Germany
1974,Group C,Netherlands,23/06/1974 16:00,Bulgaria,1,4,Netherlands
1974,Group D,Haiti,23/06/1974 16:00,Argentina,4,1,Argentina
1974,Group C,Uruguay,23/06/1974 16:00,Sweden,3,0,Sweden
1974,Group D,Italy,23/06/1974 16:00,Poland,2,1,Poland
1974,Group B,Germany,26/06/1974 16:00,Yugoslavia,0,2,Germany
1974,Group A,Germany,26/06/1974 19:30,Brazil,1,0,Brazil
1974,Group A,Argentina,26/06/1974 19:30,Netherlands,4,0,Netherlands
1974,Group B,Poland,26/06/1974 19:30,Sweden,0,1,Poland
1974,Group A,Brazil,30/06/1974 16:00,Argentina,1,2,Brazil
1974,Group B,Yugoslavia,30/06/1974 16:00,Poland,2,1,Poland
1974,Group A,Netherlands,30/06/1974 16:00,Germany,0,2,Netherlands
1974,Group B,Sweden,30/06/1974 19:30,Germany,4,2,Germany
1974,Group B,Germany,3/07/1974 17:00,Poland,0,1,Germany
1974,Group A,Brazil,3/07/1974 19:30,Netherlands,2,0,Netherlands
1974,Group A,Germany,3/07/1974 19:30,Argentina,1,1,draw
1974,Group B,Yugoslavia,3/07/1974 19:30,Sweden,2,1,Sweden
1974,Third place,Poland,6/07/1974 16:00,Brazil,0,1,Poland
1974,Final,Germany,7/07/1974 16:00,Netherlands,1,2,Germany
1978,Group B,Poland,1/06/1978 15:00,Germany,0,0,draw
1978,Group A,France,2/06/1978 13:45,Italy,2,1,Italy
1978,Group B,Mexico,2/06/1978 16:45,Tunisia,3,1,Tunisia
1978,Group A,Hungary,2/06/1978 19:15,Argentina,2,1,Argentina
1978,Group C,Brazil,3/06/1978 13:45,Sweden,1,1,draw
1978,Group C,Spain,3/06/1978 13:45,Austria,2,1,Austria
1978,Group D,Scotland,3/06/1978 16:45,Peru,3,1,Peru
1978,Group D,Iran,3/06/1978 16:45,Netherlands,3,0,Netherlands
1978,Group A,Hungary,6/06/1978 13:45,Italy,3,1,Italy
1978,Group B,Tunisia,6/06/1978 16:45,Poland,1,0,Poland
1978,Group B,Mexico,6/06/1978 16:45,Germany,6,0,Germany
1978,Group A,France,6/06/1978 19:15,Argentina,2,1,Argentina
1978,Group C,Spain,7/06/1978 13:45,Brazil,0,0,draw
1978,Group C,Sweden,7/06/1978 13:45,Austria,1,0,Austria
1978,Group D,Iran,7/06/1978 16:45,Scotland,1,1,draw
1978,Group D,Peru,7/06/1978 16:45,Netherlands,0,0,draw
1978,Group A,Hungary,10/06/1978 15:10,France,3,1,France
1978,Group B,Mexico,10/06/1978 16:45,Poland,3,1,Poland
1978,Group B,Tunisia,10/06/1978 16:45,Germany,0,0,draw
1978,Group A,Argentina,10/06/1978 19:15,Italy,1,0,Italy
1978,Group C,Austria,11/06/1978 13:45,Brazil,1,0,Brazil
1978,Group C,Sweden,11/06/1978 13:45,Spain,1,0,Spain
1978,Group D,Iran,11/06/1978 16:45,Peru,4,1,Peru
1978,Group D,Netherlands,11/06/1978 16:45,Scotland,3,2,Scotland
1978,Group A,Italy,14/06/1978 13:45,Germany,0,0,draw
1978,Group A,Austria,14/06/1978 13:45,Netherlands,5,1,Netherlands
1978,Group B,Peru,14/06/1978 16:45,Brazil,3,0,Brazil
1978,Group B,Poland,14/06/1978 19:15,Argentina,2,0,Argentina
1978,Group B,Peru,18/06/1978 13:45,Poland,1,0,Poland
1978,Group A,Austria,18/06/1978 16:45,Italy,1,0,Italy
1978,Group A,Netherlands,18/06/1978 16:45,Germany,2,2,draw
1978,Group B,Brazil,18/06/1978 19:15,Argentina,0,0,draw
1978,Group A,Italy,21/06/1978 13:45,Netherlands,2,1,Netherlands
1978,Group A,Germany,21/06/1978 13:45,Austria,3,2,Austria
1978,Group B,Poland,21/06/1978 16:45,Brazil,3,1,Brazil
1978,Group B,Peru,21/06/1978 19:15,Argentina,6,0,Argentina
1978,Third place,Italy,24/06/1978 15:00,Brazil,2,1,Brazil
1978,Final,Netherlands,25/06/1978 15:00,Argentina,3,1,Argentina
1982,Group C,Belgium,13/06/1982 20:00,Argentina,0,1,Belgium
1982,Group A,Poland,14/06/1982 17:15,Italy,0,0,draw
1982,Group F,Russia,14/06/1982 21:00,Brazil,2,1,Brazil
1982,Group A,Cameroon,15/06/1982 17:15,Peru,0,0,draw
1982,Group C,El Salvador,15/06/1982 21:00,Hungary,10,1,Hungary
1982,Group F,New Zealand,15/06/1982 21:00,Scotland,5,2,Scotland
1982,Group B,Algeria,16/06/1982 17:15,Germany,1,2,Algeria
1982,Group D,France,16/06/1982 17:15,United Kingdom,3,1,United Kingdom
1982,Group E,Honduras,16/06/1982 21:00,Spain,1,1,draw
1982,Group B,Austria,17/06/1982 17:15,Chile,0,1,Austria
1982,Group D,Kuwait,17/06/1982 17:45,Czech Republic,1,1,draw
1982,Group E,Ireland,17/06/1982 21:00,Yugoslavia,0,0,draw
1982,Group A,Peru,18/06/1982 17:15,Italy,1,1,draw
1982,Group C,Hungary,18/06/1982 21:00,Argentina,4,1,Argentina
1982,Group F,Scotland,18/06/1982 21:00,Brazil,4,1,Brazil
1982,Group A,Cameroon,19/06/1982 19:15,Poland,0,0,draw
1982,Group C,El Salvador,19/06/1982 21:00,Belgium,1,0,Belgium
1982,Group F,New Zealand,19/06/1982 21:00,Russia,3,0,Russia
1982,Group B,Chile,20/06/1982 17:15,Germany,4,1,Germany
1982,Group D,Czech Republic,20/06/1982 17:15,United Kingdom,2,0,United Kingdom
1982,Group E,Yugoslavia,20/06/1982 21:00,Spain,2,1,Spain
1982,Group B,Austria,21/06/1982 17:15,Algeria,0,2,Austria
1982,Group D,Kuwait,21/06/1982 17:15,France,4,1,France
1982,Group E,Ireland,21/06/1982 21:00,Honduras,1,1,draw
1982,Group A,Peru,22/06/1982 17:15,Poland,5,1,Poland
1982,Group C,Hungary,22/06/1982 21:00,Belgium,1,1,draw
1982,Group F,Scotland,22/06/1982 21:00,Russia,2,2,draw
1982,Group A,Cameroon,23/06/1982 17:15,Italy,1,1,draw
1982,Group C,El Salvador,23/06/1982 21:00,Argentina,2,0,Argentina
1982,Group F,New Zealand,23/06/1982 21:00,Brazil,4,0,Brazil
1982,Group B,Chile,24/06/1982 17:15,Algeria,3,2,Algeria
1982,Group D,Czech Republic,24/06/1982 17:15,France,1,1,draw
1982,Group E,Yugoslavia,24/06/1982 21:00,Honduras,0,1,Yugoslavia
1982,Group B,Austria,25/06/1982 17:15,Germany,1,0,Germany
1982,Group D,Kuwait,25/06/1982 17:15,United Kingdom,1,0,United Kingdom
1982,Group E,Spain,25/06/1982 21:00,Ireland,1,0,Ireland
1982,Group D,France,28/06/1982 17:15,Austria,0,1,France
1982,Group A,Belgium,28/06/1982 21:00,Poland,3,0,Poland
1982,Group C,Argentina,29/06/1982 17:15,Italy,2,1,Italy
1982,Group B,United Kingdom,29/06/1982 21:00,Germany,0,0,draw
1982,Group D,Ireland,1/07/1982 17:15,Austria,2,2,draw
1982,Group A,Russia,1/07/1982 21:00,Belgium,0,1,Russia
1982,Group C,Brazil,2/07/1982 17:15,Argentina,1,3,Brazil
1982,Group B,Spain,2/07/1982 21:00,Germany,2,1,Germany
1982,Group D,Ireland,4/07/1982 17:15,France,4,1,France
1982,Group A,Russia,4/07/1982 21:00,Poland,0,0,draw
1982,Group C,Brazil,5/07/1982 17:15,Italy,3,2,Italy
1982,Group B,United Kingdom,5/07/1982 21:00,Spain,0,0,draw
1982,Semi-finals,Italy,8/07/1982 17:15,Poland,0,2,Italy
1982,Semi-finals,France,8/07/1982 21:00,Germany,3,3, Germany 
1982,Third place,France,10/07/1982 20:00,Poland,3,2,Poland
1982,Final,Germany,11/07/1982 20:00,Italy,3,1,Italy
1986,Group A,Italy,31/05/1986 12:00,Bulgaria,1,1,draw
1986,Group C,France,1/06/1986 16:00,Canada,0,1,France
1986,Group D,Brazil,1/06/1986 12:00,Spain,0,1,Brazil
1986,Group C,Hungary,2/06/1986 12:00,Russia,6,0,Russia
1986,Group A,"Korea, South",2/06/1986 12:00,Argentina,3,1,Argentina
1986,Group F,Poland,2/06/1986 16:00,Morocco,0,0,draw
1986,Group D,Ireland,3/06/1986 12:00,Algeria,1,1,draw
1986,Group B,Mexico,3/06/1986 12:00,Belgium,1,2,Mexico
1986,Group F,United Kingdom,3/06/1986 16:00,Portugal,1,0,Portugal
1986,Group B,Iraq,4/06/1986 12:00,Paraguay,1,0,Paraguay
1986,Group E,Denmark,4/06/1986 16:00,Scotland,0,1,Denmark
1986,Group E,Germany,4/06/1986 12:00,Uruguay,1,1,draw
1986,Group A,Argentina,5/06/1986 12:00,Italy,1,1,draw
1986,Group C,Russia,5/06/1986 12:00,France,1,1,draw
1986,Group A,Bulgaria,5/06/1986 16:00,"Korea, South",1,1,draw
1986,Group C,Canada,6/06/1986 12:00,Hungary,2,0,Hungary
1986,Group D,Algeria,6/06/1986 12:00,Brazil,1,0,Brazil
1986,Group F,Morocco,6/06/1986 16:00,United Kingdom,0,0,draw
1986,Group D,Spain,7/06/1986 12:00,Ireland,1,2,Spain
