Year,Stage,away_team,date,home_team,home_result,away_result,winner
1998,Quarter-finals,France,3/07/1998 16:30,Italy,0,0,France 
1998,Quarter-finals,Denmark,3/07/1998 21:00,Brazil,3,2,Brazil
1998,Quarter-finals,Argentina,4/07/1998 16:30,Netherlands,2,1,Netherlands
1998,Quarter-finals,Croatia,4/07/1998 21:00,Germany,0,3,Croatia
1998,Semi-finals,Netherlands,7/07/1998 21:00,Brazil,1,1,Brazil 
1998,Semi-finals,Croatia,8/07/1998 21:00,France,2,1,France
1998,Third place,Croatia,11/07/1998 21:00,Netherlands,1,2,Croatia
1998,Final,France,12/07/1998 21:00,Brazil,0,3,France
2002,Group A,Senegal,31/05/2002 20:30,France,0,1,Senegal
2002,Group A,Denmark,1/06/2002 18:00,Uruguay,1,2,Denmark
2002,Group E,Cameroon,1/06/2002 15:30,Ireland,1,1,draw
2002,Group E,Saudi Arabia,1/06/2002 20:30,Germany,8,0,Germany
2002,Group F,Nigeria,2/06/2002 14:30,Argentina,1,0,Argentina
2002,Group B,South Africa,2/06/2002 16:30,Paraguay,2,2,draw
2002,Group F,Sweden,2/06/2002 18:30,United Kingdom,1,1,draw
2002,Group B,Slovenia,2/06/2002 20:30,Spain,3,1,Spain
2002,Group C,Turkey,3/06/2002 18:00,Brazil,2,1,Brazil
2002,Group G,Ecuador,3/06/2002 20:30,Italy,2,0,Italy
2002,Group G,Mexico,3/06/2002 15:30,Croatia,0,1,Mexico
2002,Group C,Costa Rica,4/06/2002 15:30,China,0,2,Costa Rica
2002,Group H,Belgium,4/06/2002 18:00,Japan,2,2,draw
2002,Group D,Poland,4/06/2002 20:30,"Korea, South",2,0,"Korea, South"
2002,Group H,Tunisia,5/06/2002 15:30,Russia,2,0,Russia
2002,Group D,Portugal,5/06/2002 18:00,United States,3,2,United States
2002,Group E,Ireland,5/06/2002 20:30,Germany,1,1,draw
2002,Group A,Senegal,6/06/2002 15:30,Denmark,1,1,draw
2002,Group E,Saudi Arabia,6/06/2002 18:00,Cameroon,1,0,Cameroon
2002,Group A,Uruguay,6/06/2002 20:30,France,0,0,draw
2002,Group F,Nigeria,7/06/2002 15:30,Sweden,2,1,Sweden
2002,Group F,United Kingdom,7/06/2002 20:30,Argentina,0,1,United Kingdom
2002,Group B,Paraguay,7/06/2002 18:00,Spain,3,1,Spain
2002,Group B,Slovenia,8/06/2002 15:30,South Africa,1,0,South Africa
2002,Group C,China,8/06/2002 20:30,Brazil,4,0,Brazil
2002,Group G,Croatia,8/06/2002 18:00,Italy,1,2,Croatia
2002,Group C,Turkey,9/06/2002 18:00,Costa Rica,1,1,draw
2002,Group H,Russia,9/06/2002 20:30,Japan,1,0,Japan
2002,Group G,Ecuador,9/06/2002 15:30,Mexico,2,1,Mexico
2002,Group D,United States,10/06/2002 15:30,"Korea, South",1,1,draw
2002,Group D,Poland,10/06/2002 20:30,Portugal,4,0,Portugal
2002,Group H,Belgium,10/06/2002 18:00,Tunisia,1,1,draw
2002,Group A,France,11/06/2002 15:30,Denmark,2,0,Denmark
2002,Group A,Uruguay,11/06/2002 15:30,Senegal,3,3,draw
2002,Group E,Ireland,11/06/2002 20:30,Saudi Arabia,0,3,Ireland
2002,Group E,Germany,11/06/2002 20:30,Cameroon,0,2,Germany
2002,Group F,Argentina,12/06/2002 15:30,Sweden,1,1,draw
2002,Group F,United Kingdom,12/06/2002 15:30,Nigeria,0,0,draw
2002,Group B,Paraguay,12/06/2002 20:30,Slovenia,1,3,Paraguay
2002,Group B,Spain,12/06/2002 20:30,South Africa,2,3,Spain
2002,Group C,Brazil,13/06/2002 15:30,Costa Rica,2,5,Brazil
2002,Group C,China,13/06/2002 15:30,Turkey,3,0,Turkey
2002,Group G,Croatia,13/06/2002 20:30,Ecuador,1,0,Ecuador
2002,Group G,Italy,13/06/2002 20:30,Mexico,1,1,draw
2002,Group H,Japan,14/06/2002 15:30,Tunisia,0,2,Japan
